,Substation,Training_Data_Index,Reactive_Power
0,Damak,training_data_1,11.419547025353685
1,Damak,training_data_2,8.740988258525416
2,Damak,training_data_3,11.543728642135408
3,Damak,training_data_4,10.066019620043885
4,Damak,training_data_5,10.336136944100557
5,Damak,training_data_6,10.134617093380687
6,Damak,training_data_7,10.819509697335956
7,Damak,training_data_8,10.52214970140437
8,Damak,training_data_9,9.821744695042618
9,Damak,training_data_10,11.698797497827387
10,Damak,training_data_11,9.91083319159367
11,Damak,training_data_12,10.882788224085196
12,Damak,training_data_13,10.049879357157238
13,Damak,training_data_14,11.947084839606328
14,Damak,training_data_15,9.914541607601807
15,Damak,training_data_16,11.123397763856921
16,Damak,training_data_17,11.244477131599012
17,Damak,training_data_18,11.334019836099351
18,Damak,training_data_19,9.860034391300553
19,Damak,training_data_20,10.885508664709851
20,Damak,training_data_21,10.44757029738067
21,Damak,training_data_22,9.799780922396366
22,Damak,training_data_23,10.116239737981426
23,Damak,training_data_24,9.293946830320218
24,Damak,training_data_25,10.593929335200889
25,Damak,training_data_26,9.89271052114882
26,Damak,training_data_27,8.488406881306322
27,Damak,training_data_28,8.150766926108325
28,Damak,training_data_29,9.63409234186702
29,Damak,training_data_30,10.935080984008884
30,Damak,training_data_31,9.599752497920566
31,Damak,training_data_32,10.374874414206506
32,Damak,training_data_33,10.321653941356697
33,Damak,training_data_34,8.733859635645421
34,Damak,training_data_35,9.583901597195934
35,Damak,training_data_36,12.169482226654647
36,Damak,training_data_37,9.93606210510193
37,Damak,training_data_38,10.727771623016112
38,Damak,training_data_39,9.07763584768201
39,Damak,training_data_40,9.531331367922917
40,Damak,training_data_41,9.163847094706242
41,Damak,training_data_42,10.485510805323527
42,Damak,training_data_43,9.856173409865603
43,Damak,training_data_44,11.337427125424998
44,Damak,training_data_45,10.703657232657248
45,Damak,training_data_46,12.958643475578521
46,Damak,training_data_47,10.918718938174782
47,Damak,training_data_48,8.551783685435678
48,Damak,training_data_49,11.222522530015846
49,Damak,training_data_50,8.830611640208852
50,Damak,training_data_51,11.695619373786617
51,Damak,training_data_52,10.229172991879082
52,Damak,training_data_53,10.12982276137539
53,Damak,training_data_54,9.542360397690468
54,Damak,training_data_55,9.894556498417545
55,Damak,training_data_56,10.602736542884694
